name,brand,price,original_price,special_price,savings,image_url,product_url,product_code,category,in_stock,on_special,scraped_at
Selati Pure White Sugar Bag 2.5kg,,57.99,,57.99,,https://www.shoprite.co.za/medias/lqi-10141800EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjI2fGltYWdlL3BuZ3xpbWFnZXMvaGY5L2g2YS85ODg1NTk4MjUzMDg2LnBuZ3wxMjU0YTk4NjhjZjA1NWY0NDk5NmQ1ODAxMTBhMDE4NmI3NTI2ZTNmMzc0MWRhMjM2ZjUwNDVhNTBlOGVlNjM5,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Sugar-and-Sweeteners/White-Sugar/Selati-Pure-White-Sugar-Bag-2-5kg/p/10141800EA,,Food Cupboard,True,True,2025-10-06T02:10:36.497713
Bananas Per kg,,18.99,,18.99,,https://www.shoprite.co.za/medias/lqi-10145033KG-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzcxfGltYWdlL3BuZ3xpbWFnZXMvaDU3L2g5Yi8xMDQ3NzA3NzY5MjQ0Ni5wbmd8ZDQyYzFmZTQ0NWMwZTc4YTUwOWRhMmE2M2IwMjkxNzFhYTUwMjc0NThmZDc1NDM1MDNkOTM3Y2UxMGZhYzE3Yw,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Fresh-Fruit/Bananas/Bananas-Per-kg/p/10145033KG,,Fresh Food,True,True,2025-10-06T02:10:40.461286
White Bread 600g,,14.99,,14.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10810523EA-en-shopriteGlobalProductCatalog-20240919110236.png?context=bWFzdGVyfGltYWdlc3wxMzk5fGltYWdlL3BuZ3xpbWFnZXMvaGE4L2g3Ny8xMTI1NzE1ODI3MTAwNi5wbmd8M2VhNjNiOWY4NDE2NDE0OTMxNGVlZjgzOTMyMzMwZDJkZmY0NjY5YThkZjA2MWY5ZjBkODQwMDA4ZGQyYTE1MQ,https://www.shoprite.co.za/All-Departments/Food/Bakery/Bread-and-Rolls/White-Bread/White-Bread-600g/p/10810523EA,,Bakery,True,True,2025-10-06T02:10:40.461713
English Cucumber,,16.99,,16.99,,https://www.shoprite.co.za/medias/lqi-10145817EAv2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDA3fGltYWdlL3BuZ3xpbWFnZXMvaDVmL2g1Yy85NTc2NTkyODAxODIyLnBuZ3xhNmZmYjhhNDIyNzI0OWNiZTUyYzNlZTNiMzMwMWEyMThiYmI4ZmVkYWI1NTc0NzRmZmRkNmI5MWExMmM2M2Nl,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Fresh-Salad%2C-Herbs-and-Dip/Cucumber/English-Cucumber/p/10145817EA,,Fresh Food,True,True,2025-10-06T02:10:40.462029
Ritebrand Long Life Full Cream Milk 6 x 1L,,94.99,,94.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10156109PK1-en-shopriteGlobalProductCatalog-20240913110852.png?context=bWFzdGVyfGltYWdlc3wxNzUwfGltYWdlL3BuZ3xpbWFnZXMvaGUzL2hjNi8xMTIzNTIxNDI5NTA3MC5wbmd8MmNmZjdhNmIwOGUyNWNjNmZkNDM1MmUxOGI0ZTA1NDlmNWRlMTlmOWRhM2Q3NTFjNzMwNjczNzBjYTY5OTQyMg,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Long-Life-Milk-and-Dairy-Alternatives/Long-Life-UHT-Milk/Ritebrand-Long-Life-Full-Cream-Milk-6-x-1L-/p/10156109PK1,,Food Cupboard,True,True,2025-10-06T02:10:40.462340
Olé Bread Spread 25% Fat Spread 1kg,,29.99,,29.99,,https://www.shoprite.co.za/medias/lqi-10137673EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyOTgzfGltYWdlL3BuZ3xpbWFnZXMvaGQ4L2hmMi85MDgwMTgxOTgxMjE0LnBuZ3wxOGYzMzVjYzJjNGUxYzM1MDUzMzdhMDZkZTJmMTM5ZjExYjQ1YmEzY2QxNmI2YTVkYTQ3ZjIyNzIyMmI2MGVm,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Milk%2C-Butter-and-Eggs/Butter%2C-Spreads-and-Margarine/Ol%C3%A9-Bread-Spread-25%25-Fat-Spread-1kg/p/10137673EA,,Fresh Food,True,True,2025-10-06T02:10:40.462688
Crown Blended Cooking Oil 2L,,78.99,,78.99,,https://www.shoprite.co.za/medias/lqi-10180019EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDIwfGltYWdlL3BuZ3xpbWFnZXMvaDJkL2g2YS8xMDIwOTk0MjA3NzQ3MC5wbmd8YmNhNjFjYTdkOTZiNjc0ZTRjMDViYjc0MzgxZDQxMGM1MWIzNWMyMGVlOWMwODY3YzNjMDk4YzIxNTc3ODRjOA,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Cooking-Ingredients/Cooking-Oils-and-Fats/Crown-Blended-Cooking-Oil-2L/p/10180019EA,,Food Cupboard,True,True,2025-10-06T02:10:40.462999
Spekko Long Grain Parboiled White Rice 10kg,,189.99,,189.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10125603EA-en-shopriteGlobalProductCatalog-20250617015315.png?context=bWFzdGVyfGltYWdlc3wyMDYwfGltYWdlL3BuZ3xpbWFnZXMvaGFlL2gwMC8xMTg0NzU1MTk0MjY4Ni5wbmd8Y2ZhYTQ1NjMxY2RlN2M0MmQ2YWI4NjM2YmJjNWRhYmNkYTQ0OGMxOTVjOTVjNWUzNDViY2IyNmYyYTA3ZTBiMw,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Rice%2C-Pasta%2C-Noodles-and-Cous-Cous/Rice/Spekko-Long-Grain-Parboiled-White-Rice-10kg/p/10125603EA,,Food Cupboard,True,True,2025-10-06T02:10:40.463308
Albany Everyday Brown Bread Loaf 700g,,13.99,,13.99,,https://www.shoprite.co.za/medias/lqi-10351328EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjk1fGltYWdlL3BuZ3xpbWFnZXMvaGMwL2gxMC8xMDc0MzkxMDU5NjYzOC5wbmd8OTZlMDY0OGNlNWFlYzVjMjQ4MGRmYjJlMjRkZWY4NDA2N2ZlYjFkMTcwNDBjYWM5MWZjNTEzNTk2Y2M0ODU0Yg,https://www.shoprite.co.za/All-Departments/Food/Bakery/Bread-and-Rolls/Brown-and-Wholemeal-Bread/Albany-Everyday-Brown-Bread-Loaf-700g/p/10351328EA,,Bakery,True,True,2025-10-06T02:10:40.463627
Spekko Long Grain Parboiled White Rice 5kg,,99.99,,99.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10133206EA-en-shopriteGlobalProductCatalog-20250605104120.png?context=bWFzdGVyfGltYWdlc3wxOTgzfGltYWdlL3BuZ3xpbWFnZXMvaDVmL2gwZS8xMTgxOTEwNTA1ODg0Ni5wbmd8NDJhZWY5NDNkZTc3NzcyYWUxYjhlZDNlZTA5NGFiNzQwYmRmZmU0MjBjMDhjZjhmMWEwNTdmY2U5OGYxMTYyMw,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Rice%2C-Pasta%2C-Noodles-and-Cous-Cous/Rice/Spekko-Long-Grain-Parboiled-White-Rice-5kg/p/10133206EA,,Food Cupboard,True,True,2025-10-06T02:10:40.463934
